id	our_name	google_name	our_address	google_address	place_id	google_maps_uri	similarity	google_status	our_status
a05a2d12-3791-4298-8719-386d0c4c33ca	月光咖啡廳	MoonLight Saloon 月光餐酒館--漢堡專賣	台南巿東區崇明路405號2樓	70161台灣臺南市東區龍山里富德街25巷6號	ChIJ0TnF7y93bjQRhBhcTdRHiaQ	https://maps.google.com/?cid=11856086471186061444&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.14	OPERATIONAL	operational
2aae2569-6ae4-44e5-9f8f-5de763d90561	More Cafe, 摩爾咖啡. 摩爾先生咖啡館	摩爾先生咖啡北安店【台南北區網友推薦咖啡】外帶咖啡|手沖咖啡|平價咖啡小店|香醇咖啡	台南市中西區赤嵌街47號	70462台灣臺南市北區正覺里北安路一段41號	ChIJ-RxOaqN2bjQREdxMT1HK6ms	https://maps.google.com/?cid=7776250157180181521&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.20	OPERATIONAL	operational
c7814cb8-fe56-42f4-bb3c-712759364dee	深作咖啡	深作cafe'	台南市中西區民權路二段231號	700台灣臺南市中西區天后里民權路二段231號	ChIJWSMFxmN2bjQRwpKdZbf5DL4	https://maps.google.com/?cid=13694595133005992642&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.40	OPERATIONAL	operational
ffdf6b8e-d89c-42a9-b421-5de9aa75a7ee	橘舍	橘舍咖啡(結束店面營業)	中西區中正路108巷1號	700台灣臺南市中西區南美里中正路108巷1號	ChIJoTW1XWN2bjQRcU3McBVT2Xs	https://maps.google.com/?cid=8924255488163204465&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	1.00	CLOSED_PERMANENTLY	permanently_closed
59c81419-55e7-4bff-a36a-50b8e5396d31	M2 coffee shop 崇德店	MUC漫悠客咖啡B1+崇德店	701台南市東區崇德路616號	701台灣臺南市東區東智里崇德路870號	ChIJIXd7IAB1bjQRmpHaJJGmRXo	https://maps.google.com/?cid=8810631388339016090&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.36	OPERATIONAL	operational
e2fea787-88fe-427d-b957-105e905e436b	猛男咖啡	Beefcake Coffee 2.0 安平店	台南市南區大成路一段32號	708台灣臺南市安平區平安里安平路42號	ChIJmSNdQWx2bjQRzaFTmoWUTME	https://maps.google.com/?cid=13928671049090834893&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.00	OPERATIONAL	operational
7b18dc24-c53f-40c2-845d-0a310ce12cb3	James Cofa	Jamys潛艇堡專賣店	台南市民族路二段47號	701台灣臺南市東區成大里大學路西段9號	ChIJeQQqjJJ2bjQRhZLM-FIHGF0	https://maps.google.com/?cid=6708119697911222917&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.40	OPERATIONAL	operational
05958cec-f721-424f-8374-fb53ffafc129	CHEFFRESH cafe (南門)	窄門咖啡館	國立台灣文學館—台南中正路1號（南門路出入口）	700台灣臺南市中西區永華里南門路67號2F	ChIJq-hjV312bjQRc2uqPnxTEwg	https://maps.google.com/?cid=581900569953332083&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.10	OPERATIONAL	operational
734436b9-092e-476c-ad7d-ed053b5d2ce1	Coffee Concept 隱初	Coffee Concept |隱初	台南市中西區西門路二段365巷5號	700台灣臺南市中西區五條港里西門路二段365巷5號	ChIJzWKZpMt3bjQR_cvVURkKUM4	https://maps.google.com/?cid=14866393473813433341&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.97	CLOSED_PERMANENTLY	permanently_closed
d4659915-7ca9-44fd-b4fd-5ebbc62378dd	歸旅咖啡＠台南安平＠早午餐＠民宿＠Guei Cafe	歸旅咖啡（不定期公休, 詳見FB公告	台南市安平區建平七街752號	708台灣臺南市安平區育平里建平七街752號	ChIJL96JUwZ2bjQRBjxHJwLDNtI	https://maps.google.com/?cid=15147508810723572742&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.25	OPERATIONAL	operational
